category,file,distance_cm,angle_deg,mic,run_idx,run_trial_start,run_trial_end,roi_start,roi_end,roi_len,target_band_hz,cfg_id,method,order,bw_hz,energy_halfwidth_hz,roi_rms,envelope_peak,envelope_median,envelope_peak_prominence_ratio,envelope_peak_to_second_ratio,peak_count_over_35pct,false_peak_penalty,detectability_score,peak_index,peak_time_us,target_energy,off_energy,main_off_ratio,main_off_ratio_db,main_peak_power,secondary_peak_power,main_secondary_peak_ratio,main_secondary_peak_ratio_db,dominant_freq_hz,dominant_freq_error_hz,energy_40k,energy_50k,energy_60k
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,40000.0,iir_o2_bw2500,iir,2,2500.0,1500.0,112.76047535838984,214.5193369436169,164.24916250191404,1.306060461289206,1.0001095615659914,35.0,34.0,-3.3361987841015774,219.0,109.5,592172628.9487721,8576.30714942115,69047.50711834522,48.39148003489736,592172628.9487721,8397.816996971305,70515.06708973779,96.96563846884777,41269.84126984127,1269.8412698412722,592172628.9487721,8397.816996971305,178.49015244984523
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,50000.0,iir_o2_bw2500,iir,2,2500.0,1500.0,26.96300637797287,50.754430864761325,39.506958406099656,1.2846959855285602,1.000248760723767,40.0,39.0,-3.8401111882490455,188.0,94.0,35014586.48823745,15140.937267580799,2312.577211663729,33.64096241752563,35014586.48823745,13068.836049521315,2679.242922289163,68.56024184235326,50793.6507936508,793.6507936507987,13068.836049521315,35014586.48823745,2072.101218059485
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,60000.0,iir_o2_bw2500,iir,2,2500.0,1500.0,34.31885482450879,67.41785387269321,48.506898497872925,1.3898611529584428,1.0000115421424236,13.0,12.0,-1.1213634652667295,232.0,116.0,74126385.81563514,10309.373739681754,7190.192895065552,38.56740541584389,74126385.81563514,10265.379593322206,7221.00777099909,77.17195624735322,60317.460317460325,317.4603174603253,43.99414635954725,10265.379593322206,74126385.81563514
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,40000.0,iir_o2_bw3000,iir,2,3000.0,1500.0,119.81708229503319,235.79602247268863,172.80425820106603,1.3645266900675983,1.0001187848105424,19.0,18.0,-1.7257366677882127,221.0,110.5,646720343.9066976,7417.235837175178,87191.5573542014,49.40474434795032,646720343.9066976,7252.454268908441,89172.61935441817,99.00463047570197,41269.84126984127,1269.8412698412722,646720343.9066976,7252.454268908441,164.78156826673666
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,50000.0,iir_o2_bw3000,iir,2,3000.0,1500.0,28.138777287276266,55.47725466104607,40.16386585580719,1.3812727803696558,1.0000974897031525,24.0,23.0,-2.2228272487880885,220.0,110.0,36374683.02107133,59404.65776141188,612.3203868485144,27.869787192567664,36374683.02107133,46078.81889437658,789.4013755962496,57.9459575770739,50793.6507936508,793.6507936507987,46078.81889437658,36374683.02107133,13325.838867035302
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,60000.0,iir_o2_bw3000,iir,2,3000.0,1500.0,36.864848667857125,75.32438736334808,50.94394447979317,1.4785739135928884,1.000054595569823,7.0,6.0,-0.5065756587105765,228.0,114.0,84712316.99620657,14775.161042996064,5733.427659413778,37.58414337238919,84712316.99620657,14697.685386108204,5763.650178297735,75.21395227335474,60317.460317460325,317.4603174603253,77.4756568878605,14697.685386108204,84712316.99620657
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,40000.0,iir_o2_bw3500,iir,2,3500.0,1500.0,125.15388171549127,251.19975082886594,178.7401022476871,1.4053911107243706,1.0000048771839445,13.0,12.0,-1.1187105856085402,225.0,112.5,683404490.328518,14647.645604623323,46656.26878034316,46.68910004219807,683404490.328518,14338.620704685136,47661.80125716108,93.56340902762935,41269.84126984127,1269.8412698412722,683404490.328518,14338.620704685136,309.024899938188
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,50000.0,iir_o2_bw3500,iir,2,3500.0,1500.0,29.06507752812388,60.265023709802286,40.21086091913435,1.4987250293147456,1.0002472877826922,18.0,17.0,-1.6033045997561155,222.0,111.0,36972465.66069396,200917.46449949796,184.01817757752136,22.64860725355667,36972465.66069396,149707.50795459803,246.96467241914576,47.8526966627053,50793.6507936508,793.6507936507987,149707.50795459803,36972465.66069396,51209.95654489995
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,60000.0,iir_o2_bw3500,iir,2,3500.0,1500.0,38.577949878860096,80.99685368573117,52.213050896483765,1.551276018065136,1.000090113162693,6.0,5.0,-0.3951033965362343,226.0,113.0,91479362.71723354,23052.43815851684,3968.3161532931395,35.98606264833213,91479362.71723354,22870.477165727843,3999.888679818117,72.04095809449194,60317.460317460325,317.4603174603253,181.96099278899692,22870.477165727843,91479362.71723354
Box,25cm_-10Grad.pickle,25,-10,Mic2,0,0,24,2915,3545,630,40000.0,iir_o2_bw4000,iir,2,4000.0,1500.0,129.01147703643747,261.9199040840337,182.68767404668026,1.4337032065836397,1.0000098560965325,10.0,9.0,-0.8139454826923775,227.0,113.5,707453869.7833947,43477.45904899647,16271.73908636512,42.114339718212726,707453869.7833947,42614.41061995298,16601.28251198081,84.40283280460952,41269.84126984127,1269.8412698412722,707453869.7833947,42614.41061995298,863.0484290434902
